# Generated by AstrophysicsAugmentationPipeline
# Export date: 2025-12-26T18:39:56.069046
#
P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED
0.792,0.0,0.0,0.042,0.167,0.0,0.042,0.734,0.086
0.85,0.0,0.0,0.15,0.0,0.0,0.15,0.846,0.154
0.042,0.0,0.0,0.042,0.167,0.48399999999999993,0.042,0.037,0.043
0.672,0.052,0.0,0.138,0.138,0.0,0.19,0.588,0.267
0.588,0.0,0.0,0.265,0.11799999999999998,0.029,0.265,0.509,0.338
0.577,0.077,0.0,0.269,0.077,0.0,0.346,0.24400000000000002,0.641
0.714,0.0,0.036,0.125,0.125,0.0,0.161,0.361,0.416
0.91,0.0,0.0,0.0,0.075,0.015,0.0,0.91,0.0
0.944,0.0,0.028,0.0,0.028,0.0,0.028,0.944,0.028
0.483,0.0,0.138,0.207,0.138,0.034,0.345,0.139,0.599
0.815,0.0,0.019,0.037,0.13,0.0,0.056,0.781,0.086
0.12,0.0,0.08,0.28,0.357,0.04,0.36,0.051,0.398
0.909,0.0,0.055,0.036,0.0,0.0,0.091,0.909,0.091
0.886,0.0,0.057,0.057,0.0,0.0,0.114,0.73,0.27
0.741,0.037,0.037,0.111,0.074,0.0,0.185,0.253,0.571
0.75,0.042,0.0,0.125,0.083,0.0,0.167,0.466,0.405
0.148,0.704,0.037,0.074,0.0,0.037,0.815,0.03,0.928
0.389,0.019,0.333,0.111,0.11099999999999999,0.037,0.463,0.088,0.704
0.644,0.034,0.0,0.254,0.05099999999999999,0.017,0.288,0.24,0.64
0.433,0.267,0.0,0.167,0.133,0.0,0.433,0.083,0.714
0.385,0.038,0.269,0.231,0.038,0.038,0.538,0.385,0.538
0.394,0.0,0.061,0.12100000000000001,0.09100000000000001,0.333,0.182,0.319,0.234
0.462,0.046,0.046,0.385,0.062,0.0,0.477,0.132,0.779
0.786,0.036,0.0,0.071,0.10700000000000001,0.0,0.107,0.683,0.198
0.833,0.0,0.03,0.12100000000000001,0.015,0.0,0.152,0.422,0.543
0.455,0.182,0.023,0.227,0.114,0.0,0.432,0.099,0.726
0.9,0.0,0.0,0.05,0.05,0.0,0.05,0.9,0.05
0.344,0.033,0.0,0.459,0.164,0.0,0.492,0.084,0.7
0.312,0.094,0.031,0.406,0.094,0.062,0.531,0.098,0.71
0.24600000000000002,0.016,0.426,0.23,0.066,0.016,0.672,0.046,0.854
